epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,102.534,1.28399,6.38366,0.25675,1.39507,1.43297,0.89414,0.63934,0.81451,0.42079,0.01958,0.04918,0.00109,0.00019,1.48695,7.61666,0.04842,1.29888,1.55237,0.001538,0.001538,0.001538
30,106.041,1.2513,6.25653,0.24035,1.41039,1.39124,0.65649,0.7541,0.75792,0.18548,0.01215,0.04918,0.00107,0.00012,1.71658,7.94103,0.03695,1.8281,1.82522,0.0015215,0.0015215,0.0015215
31,109.537,1.26669,6.45236,0.25692,1.45312,1.42345,0.6508,0.6111,0.64873,0.15929,0.06855,0.06557,0.01002,0.00118,1.84258,7.61766,0.03545,1.77647,2.00437,0.001505,0.001505,0.001505
32,113.071,1.27547,6.57095,0.19284,1.31071,1.42276,0.8787,0.71263,0.90184,0.26933,0.07087,0.06557,0.00561,0.00071,1.78282,7.18276,0.03753,1.39881,1.93318,0.0014885,0.0014885,0.0014885
33,116.536,1.35107,6.56029,0.22478,1.33862,1.40337,0.84115,0.78135,0.89969,0.31116,0.14844,0.13115,0.03816,0.00558,1.75937,7.01912,0.0382,1.31906,1.87924,0.001472,0.001472,0.001472
34,120.051,1.31088,6.4947,0.2211,1.27559,1.41419,0.87635,0.72131,0.84767,0.2274,0.11476,0.09836,0.01493,0.00188,1.94632,7.02334,0.03286,1.47857,2.11843,0.0014555,0.0014555,0.0014555
35,123.515,1.26306,6.52656,0.23111,1.32542,1.40979,0.8874,0.7541,0.89207,0.2276,0.12505,0.08197,0.01455,0.00193,1.93262,6.99045,0.02827,1.44642,2.09426,0.001439,0.001439,0.001439
36,127.007,1.30073,6.21371,0.22827,1.37636,1.445,0.84068,0.72131,0.88034,0.38341,0.11975,0.11475,0.01615,0.00268,1.59619,7.05871,0.03775,1.18851,1.69838,0.0014225,0.0014225,0.0014225
37,130.493,1.26045,6.01164,0.23825,1.371,1.41843,0.86783,0.75349,0.89051,0.34024,0.08986,0.08197,0.00918,0.002,1.60327,6.93313,0.03364,1.24852,1.71751,0.001406,0.001406,0.001406
38,133.984,1.19362,6.04935,0.22541,1.31867,1.34591,0.90116,0.74738,0.89391,0.26342,0.09762,0.11475,0.02227,0.00313,1.72044,6.88261,0.02625,1.41446,1.81467,0.0013895,0.0013895,0.0013895
39,137.502,1.22193,5.94864,0.21147,1.29931,1.37675,0.86882,0.77049,0.87923,0.2099,0.06995,0.09836,0.01067,0.00161,1.8347,6.93271,0.02774,1.53619,1.9042,0.001373,0.001373,0.001373
40,141.037,1.24688,5.98237,0.20806,1.29433,1.36286,0.816,0.85246,0.91619,0.30065,0.05432,0.08197,0.00804,0.00097,1.6857,6.79237,0.03142,1.41658,1.74341,0.0013565,0.0013565,0.0013565
41,144.639,1.2047,6.0622,0.22246,1.29719,1.40131,0.82547,0.7754,0.88453,0.40105,0.14291,0.16393,0.0287,0.00387,1.56029,6.36534,0.02835,1.1547,1.65338,0.00134,0.00134,0.00134
42,148.217,1.23415,5.59218,0.24287,1.32224,1.377,0.8479,0.81967,0.89822,0.33997,0.18933,0.13115,0.03699,0.00604,1.71807,6.11889,0.02812,1.17502,1.81458,0.0013235,0.0013235,0.0013235
43,151.729,1.26439,5.89994,0.21026,1.239,1.41184,0.8479,0.81967,0.89822,0.33997,0.18933,0.13115,0.03699,0.00604,1.71807,6.11889,0.02812,1.17502,1.81458,0.001307,0.001307,0.001307
44,155.247,1.28527,5.41548,0.22796,1.26485,1.3997,0.82867,0.79299,0.86132,0.25106,0.1866,0.16393,0.04378,0.00603,1.93903,6.30433,0.03585,1.25393,2.03542,0.0012905,0.0012905,0.0012905
45,158.768,1.25317,5.50802,0.2112,1.24217,1.3758,0.84029,0.77631,0.88871,0.31508,0.17574,0.14754,0.03749,0.0046,1.80347,6.37567,0.03599,1.24662,1.88371,0.001274,0.001274,0.001274
46,162.302,1.23603,5.56965,0.29315,1.25279,1.44341,0.81668,0.77049,0.88663,0.35145,0.16015,0.14754,0.03333,0.00489,1.67183,6.29762,0.03124,1.34951,1.74347,0.0012575,0.0012575,0.0012575
47,165.754,1.17922,5.21932,0.18552,1.22623,1.38912,0.85035,0.7541,0.88172,0.32967,0.18704,0.18033,0.04396,0.00654,1.65875,6.1883,0.03212,1.40899,1.75027,0.001241,0.001241,0.001241
48,169.534,1.17463,5.34318,0.24629,1.21419,1.34988,0.86262,0.72131,0.8726,0.30581,0.18682,0.33523,0.0877,0.01398,1.684,6.01255,0.03298,1.39946,1.77013,0.0012245,0.0012245,0.0012245
49,173.095,1.17956,5.18841,0.29448,1.20831,1.39199,0.85862,0.7377,0.88663,0.34424,0.27165,0.27869,0.1089,0.01936,1.67311,5.82942,0.0212,1.28813,1.74989,0.001208,0.001208,0.001208
