epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,100.999,1.28973,6.48844,0.25346,1.36769,1.45612,0.89744,0.57377,0.52167,0.26151,0,0,0,0,1.48295,8.14264,0.07627,1.4762,1.62017,0.0016304,0.0016304,0.0016304
30,104.56,1.35943,6.33173,0.24557,1.50275,1.48116,0.875,0.11475,0.10875,0.025,0,0,0,0,1.98608,8.27232,0.05653,5.01797,1.98705,0.0016172,0.0016172,0.0016172
31,108.114,1.37916,6.52119,0.26678,1.48964,1.52341,0.85185,0.7541,0.68128,0.14539,0.05556,0.04918,0.0025,0.00055,1.67087,7.92823,0.04633,1.90617,1.71868,0.001604,0.001604,0.001604
32,111.697,1.31707,6.76968,0.20427,1.39824,1.45155,0.87841,0.7377,0.73296,0.25357,0.05246,0.04918,0.00255,0.00054,1.65311,7.94033,0.03406,1.42962,1.75251,0.0015908,0.0015908,0.0015908
33,115.217,1.33207,6.81408,0.23514,1.39802,1.37847,0.875,0.68852,0.65077,0.26878,0.02221,0.01639,0.00041,0.00012,1.56279,7.8451,0.05053,1.31348,1.63898,0.0015776,0.0015776,0.0015776
34,118.714,1.30128,6.66179,0.2253,1.35777,1.38705,1,0.04918,0.045,0.02,0,0,0,0,1.63255,7.80671,0.07188,1.53661,1.69101,0.0015644,0.0015644,0.0015644
35,122.191,1.2831,6.55316,0.24256,1.37279,1.40432,1,0.06557,0.065,0.0245,0,0,0,0,1.79656,7.76673,0.07184,1.58615,1.78303,0.0015512,0.0015512,0.0015512
36,125.641,1.27961,6.40388,0.23194,1.39894,1.43459,0.85714,0.29508,0.28836,0.08016,0.04762,0.01639,0.001,0.0003,1.80778,7.7525,0.05398,1.44225,1.8277,0.001538,0.001538,0.001538
37,129.12,1.2773,6.28828,0.24309,1.39719,1.44685,0.93548,0.47541,0.46384,0.10782,0.04953,0.01639,0.00094,0.00019,1.78372,7.49124,0.03388,1.39769,1.85274,0.0015248,0.0015248,0.0015248
38,132.535,1.23925,6.2677,0.22331,1.33464,1.37226,0.91892,0.55738,0.5278,0.12245,0.04037,0.01639,0.00079,8e-05,1.75974,7.40747,0.02611,1.45672,1.83094,0.0015116,0.0015116,0.0015116
39,135.966,1.24542,6.28477,0.20902,1.31276,1.38981,0.72822,0.52459,0.40211,0.08965,0.0246,0.01639,0.00041,4e-05,1.7888,7.47707,0.02837,1.57113,1.85999,0.0014984,0.0014984,0.0014984
40,139.409,1.23478,6.24424,0.20765,1.29358,1.36429,0.84783,0.63934,0.5617,0.18329,0,0,0,0,1.61074,7.13201,0.02365,1.40855,1.71878,0.0014852,0.0014852,0.0014852
41,142.832,1.21678,6.36843,0.21654,1.28807,1.40556,0.90698,0.63934,0.62067,0.24559,0.07471,0.04918,0.00423,0.00042,1.53071,6.68839,0.01928,1.27449,1.66312,0.001472,0.001472,0.001472
42,146.227,1.19402,5.82659,0.24492,1.30761,1.353,0.90881,0.65353,0.6338,0.21718,0.1087,0.08197,0.01384,0.00189,1.6274,6.37327,0.01968,1.27497,1.74499,0.0014588,0.0014588,0.0014588
43,149.649,1.26071,6.21138,0.20454,1.33555,1.41225,0.90881,0.65353,0.6338,0.21718,0.1087,0.08197,0.01384,0.00189,1.6274,6.37327,0.01968,1.27497,1.74499,0.0014456,0.0014456,0.0014456
